
Sample:   c= 1.0125 mg/ml  Code: 
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/PolymeraseP1_P1_buffer_0009.dat  
 1.321800e+000  7.892614e-004  7.565415e-005
 1.324560e+000  7.970212e-004  7.665508e-005
 1.327310e+000  7.409738e-004  7.607843e-005
 1.330060e+000  1.033211e-003  7.613923e-005
 1.332810e+000  8.442172e-004  7.568892e-005
 1.335570e+000  8.828004e-004  7.571672e-005
 1.338320e+000  8.533343e-004  7.630385e-005
 1.341070e+000  9.447444e-004  7.604905e-005
 1.343820e+000  8.441772e-004  7.522268e-005
 1.346580e+000  8.968240e-004  7.560343e-005
 1.349330e+000  7.667464e-004  7.535978e-005
 1.352080e+000  8.678266e-004  7.554379e-005
 1.354830e+000  8.339799e-004  7.500429e-005
 1.357590e+000  8.067641e-004  7.498715e-005
 1.360340e+000  8.677323e-004  7.541871e-005
 1.363090e+000  6.427841e-004  7.439005e-005
 1.365840e+000  8.637845e-004  7.564205e-005
 1.368600e+000  7.381990e-004  7.662945e-005
 1.371350e+000  7.949580e-004  7.731507e-005
 1.374100e+000  6.972512e-004  7.792793e-005
 1.376850e+000  8.341813e-004  7.829420e-005
 1.379610e+000  7.321124e-004  7.813529e-005
 1.382360e+000  8.207563e-004  7.889053e-005
 1.385110e+000  8.249513e-004  7.926408e-005
 1.387860e+000  7.579550e-004  7.932114e-005
 1.390620e+000  8.508154e-004  7.884598e-005
 1.393370e+000  8.236468e-004  7.989352e-005
 1.396120e+000  8.091031e-004  7.982597e-005
 1.398870e+000  7.100861e-004  7.972393e-005
 1.401630e+000  5.928948e-004  7.962830e-005
 1.404380e+000  8.568106e-004  8.060686e-005
 1.407130e+000  6.168514e-004  8.072781e-005
 1.409880e+000  7.301650e-004  8.052323e-005
 1.412640e+000  6.561733e-004  8.076726e-005
 1.415390e+000  7.336084e-004  8.028379e-005
 1.418140e+000  7.501096e-004  8.197032e-005
 1.420890e+000  6.138567e-004  8.084820e-005
 1.423650e+000  5.416110e-004  8.121397e-005
 1.426400e+000  6.500180e-004  8.082093e-005
 1.429150e+000  6.748634e-004  7.911227e-005
 1.431900e+000  4.677508e-004  7.913169e-005
 1.434660e+000  6.346914e-004  7.808884e-005
 1.437410e+000  6.586594e-004  7.766341e-005
 1.440160e+000  6.339612e-004  7.758058e-005
 1.442910e+000  6.279860e-004  7.683637e-005
 1.445670e+000  7.614256e-004  7.696484e-005
 1.448420e+000  6.251827e-004  7.617855e-005
