Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  1.002510e+00   9.759565e-04   4.136832e-04
  1.005260e+00   1.798130e-03   4.097881e-04
  1.008020e+00   1.855855e-03   4.128596e-04
  1.010770e+00   2.375014e-03   4.105604e-04
  1.013520e+00   2.085420e-03   4.145825e-04
  1.016270e+00   1.982420e-03   4.119045e-04
  1.019030e+00   1.303174e-03   4.099270e-04
  1.021780e+00   1.965812e-03   4.099957e-04
  1.024530e+00   1.507986e-03   4.087299e-04
  1.027280e+00   2.265841e-03   4.080636e-04
  1.030040e+00   1.286203e-03   4.051407e-04
  1.032790e+00   1.806768e-03   4.092309e-04
  1.035540e+00   1.681391e-03   4.061390e-04
  1.038290e+00   1.610304e-03   4.037888e-04
  1.041050e+00   2.149768e-03   4.041168e-04
  1.043800e+00   1.077246e-03   4.052113e-04
  1.046550e+00   2.260449e-03   4.068177e-04
  1.049300e+00   2.429812e-03   4.033312e-04
  1.052060e+00   1.979246e-03   4.030257e-04
  1.054810e+00   1.082159e-03   4.014367e-04
  1.057560e+00   1.377768e-03   4.031629e-04
  1.060310e+00   1.556377e-03   4.026684e-04
  1.063070e+00   1.502507e-03   4.000125e-04
  1.065820e+00   1.809841e-03   4.023068e-04
  1.068570e+00   1.595884e-03   4.015806e-04
  1.071320e+00   1.541638e-03   3.985467e-04
  1.074080e+00   1.378072e-03   3.995752e-04
  1.076830e+00   1.486754e-03   3.972641e-04
  1.079580e+00   1.253101e-03   4.006006e-04
  1.082330e+00   1.515406e-03   3.969435e-04
  1.085090e+00   1.508870e-03   3.958865e-04
  1.087840e+00   2.129261e-03   3.973216e-04
  1.090590e+00   1.926116e-03   3.963016e-04
  1.093340e+00   1.229217e-03   3.970001e-04
  1.096100e+00   1.250391e-03   3.942181e-04
  1.098850e+00   1.324522e-03   3.942499e-04
  1.101600e+00   1.298913e-03   3.916625e-04
  1.104350e+00   2.216855e-03   3.948341e-04
  1.107110e+00   2.324058e-03   3.938381e-04
  1.109860e+00   1.149971e-03   3.921235e-04
  1.112610e+00   1.033957e-03   3.915312e-04
  1.115360e+00   7.760580e-04   3.900929e-04
  1.118120e+00   2.328826e-03   3.910967e-04
  1.120870e+00   1.382420e-03   3.858964e-04
  1.123620e+00   1.650681e-03   3.905970e-04
  1.126370e+00   1.562870e-03   3.909914e-04
  1.129130e+00   1.688797e-03   3.911264e-04
  1.131880e+00   1.753275e-03   3.895855e-04
  1.134630e+00   1.485377e-03   3.837413e-04
  1.137380e+00   1.744768e-03   3.868867e-04
  1.140140e+00   1.831855e-03   3.887672e-04
  1.142890e+00   1.392362e-03   3.834241e-04
  1.145640e+00   1.220348e-03   3.860406e-04
  1.148390e+00   1.344043e-03   3.858081e-04
  1.151150e+00   1.453116e-03   3.848514e-04
  1.153900e+00   1.175029e-03   3.836307e-04
  1.156650e+00   8.877391e-04   3.805125e-04
  1.159400e+00   1.287710e-03   3.837401e-04
  1.162160e+00   1.442783e-03   3.840274e-04
  1.164910e+00   1.826290e-03   3.809475e-04
  1.167660e+00   8.961594e-04   3.796488e-04
  1.170410e+00   1.530029e-03   3.801449e-04
  1.173170e+00   8.085362e-04   3.823735e-04
  1.175920e+00   8.632754e-04   3.802478e-04
  1.178670e+00   1.549942e-03   3.795203e-04
  1.181420e+00   1.173725e-03   3.790917e-04
  1.184180e+00   1.728261e-03   3.786067e-04
  1.186930e+00   1.231667e-03   3.773625e-04
  1.189680e+00   9.918551e-04   3.766803e-04
  1.192430e+00   9.935652e-04   3.767551e-04
  1.195190e+00   1.094174e-03   3.766636e-04
  1.197940e+00   2.018043e-03   3.761239e-04
  1.200690e+00   8.994493e-04   3.751161e-04
  1.203440e+00   8.086232e-04   3.703635e-04
  1.206200e+00   8.116812e-04   3.724167e-04
  1.208950e+00   1.717826e-03   3.741712e-04
  1.211700e+00   1.493493e-03   3.736226e-04
  1.214450e+00   7.268841e-04   3.700793e-04
  1.217210e+00   7.848551e-04   3.708307e-04
  1.219960e+00   8.816087e-04   3.703800e-04
