Sample description: 
Sample:   c= 1.3600 mg/ml  Code: P1_1_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_1_P1_Buffer_0013_sub.dat
  1.346580e+00   7.939853e-04   1.812804e-04
  1.349330e+00   1.339875e-03   1.823279e-04
  1.352080e+00   5.278235e-04   1.812482e-04
  1.354830e+00   8.289485e-04   1.807307e-04
  1.357590e+00   9.999926e-04   1.814354e-04
  1.360340e+00   6.640368e-04   1.805277e-04
  1.363090e+00   6.988824e-04   1.806272e-04
  1.365840e+00   6.513676e-04   1.809665e-04
  1.368600e+00   6.921765e-04   1.841532e-04
  1.371350e+00   8.473897e-04   1.858782e-04
  1.374100e+00   1.168419e-03   1.876800e-04
  1.376850e+00   7.414118e-04   1.880525e-04
  1.379610e+00   8.045882e-04   1.883683e-04
  1.382360e+00   7.935147e-04   1.895151e-04
  1.385110e+00   9.129779e-04   1.902355e-04
  1.387860e+00   6.643015e-04   1.908452e-04
  1.390620e+00   5.714338e-04   1.891368e-04
  1.393370e+00   9.141471e-04   1.916515e-04
  1.396120e+00   5.722206e-04   1.925404e-04
  1.398870e+00   5.823897e-04   1.917795e-04
  1.401630e+00   9.399191e-04   1.933032e-04
  1.404380e+00   5.862206e-04   1.936465e-04
  1.407130e+00   6.926176e-04   1.947221e-04
  1.409880e+00   7.918235e-04   1.947270e-04
  1.412640e+00   2.407132e-04   1.948173e-04
  1.415390e+00   7.250882e-04   1.940312e-04
  1.418140e+00   5.414559e-04   1.976401e-04
  1.420890e+00   7.363824e-04   1.952337e-04
  1.423650e+00   7.324632e-04   1.951804e-04
  1.426400e+00   9.863897e-04   1.955541e-04
  1.429150e+00   7.085000e-04   1.910745e-04
  1.431900e+00   7.709853e-04   1.916888e-04
  1.434660e+00   7.407794e-04   1.884049e-04
  1.437410e+00   7.615147e-04   1.881693e-04
  1.440160e+00   6.969044e-04   1.875825e-04
  1.442910e+00   6.585441e-04   1.860976e-04
  1.445670e+00   5.772647e-04   1.855202e-04
  1.448420e+00   7.102279e-04   1.846175e-04
  1.451170e+00   9.876471e-04   1.852915e-04
  1.453920e+00   7.701103e-04   1.845525e-04
  1.456680e+00   5.984559e-04   1.826726e-04
  1.459430e+00   8.337426e-04   1.823248e-04
  1.462180e+00   6.377794e-04   1.825099e-04
  1.464930e+00   7.239926e-04   1.833806e-04
  1.467690e+00   7.146765e-04   1.821292e-04
  1.470440e+00   8.944559e-04   1.804782e-04
  1.473190e+00   3.904559e-04   1.806324e-04
  1.475940e+00   5.123015e-04   1.813071e-04
  1.478700e+00   5.046985e-04   1.808136e-04
  1.481450e+00   7.464559e-04   1.801752e-04
  1.484200e+00   4.580515e-04   1.791012e-04
  1.486950e+00   6.453971e-04   1.804232e-04
  1.489710e+00   8.670368e-04   1.789912e-04
  1.492460e+00   4.988456e-04   1.791691e-04
  1.495210e+00   5.923309e-04   1.786451e-04
  1.497960e+00   4.189632e-04   1.793857e-04
  1.500720e+00   8.734191e-04   1.786293e-04
  1.503470e+00   5.497279e-04   1.778467e-04
  1.506220e+00   6.660294e-04   1.775279e-04
  1.508970e+00   5.174265e-04   1.775262e-04
  1.511730e+00   5.684926e-04   1.785833e-04
  1.514480e+00   7.516250e-04   1.777135e-04
  1.517230e+00   8.006324e-04   1.767726e-04
