  7.520320e-01   3.612148e-02   2.561685e-04
  7.547850e-01   3.599334e-02   2.566511e-04
  7.575370e-01   3.599224e-02   2.538577e-04
  7.602900e-01   3.587492e-02   2.543624e-04
  7.630420e-01   3.605069e-02   2.532765e-04
  7.657950e-01   3.554236e-02   2.529152e-04
  7.685470e-01   3.596683e-02   2.533699e-04
  7.713000e-01   3.575437e-02   2.500618e-04
  7.740520e-01   3.598062e-02   2.542061e-04
  7.768050e-01   3.558824e-02   2.503677e-04
  7.795570e-01   3.565281e-02   2.523882e-04
  7.823100e-01   3.559918e-02   2.506619e-04
  7.850620e-01   3.562054e-02   2.551893e-04
  7.878150e-01   3.539811e-02   2.596360e-04
  7.905670e-01   3.602567e-02   2.625076e-04
  7.933200e-01   3.552332e-02   2.625607e-04
  7.960720e-01   3.592116e-02   2.631470e-04
  7.988250e-01   3.560616e-02   2.641998e-04
  8.015770e-01   3.549384e-02   2.655910e-04
  8.043300e-01   3.521909e-02   2.647086e-04
  8.070820e-01   3.548925e-02   2.681976e-04
  8.098350e-01   3.549166e-02   2.682082e-04
  8.125870e-01   3.528342e-02   2.677299e-04
  8.153400e-01   3.582075e-02   2.707105e-04
  8.180920e-01   3.583044e-02   2.705906e-04
  8.208450e-01   3.569641e-02   2.726672e-04
  8.235970e-01   3.564182e-02   2.718066e-04
  8.263500e-01   3.541933e-02   2.730880e-04
  8.291030e-01   3.490989e-02   2.698025e-04
  8.318550e-01   3.546295e-02   2.714468e-04
  8.346080e-01   3.511213e-02   2.747506e-04
  8.373600e-01   3.581516e-02   2.762878e-04
  8.401130e-01   3.525229e-02   2.754681e-04
  8.428650e-01   3.573615e-02   2.721621e-04
  8.456180e-01   3.579190e-02   2.684006e-04
  8.483700e-01   3.579357e-02   2.668644e-04
  8.511230e-01   3.573544e-02   2.633385e-04
  8.538750e-01   3.527400e-02   2.603343e-04
  8.566280e-01   3.509301e-02   2.592316e-04
  8.593800e-01   3.526346e-02   2.585788e-04
  8.621330e-01   3.562181e-02   2.588990e-04
  8.648850e-01   3.519391e-02   2.544618e-04
  8.676380e-01   3.553348e-02   2.565016e-04
  8.703900e-01   3.522564e-02   2.547112e-04
  8.731430e-01   3.582915e-02   2.570205e-04
  8.758950e-01   3.516974e-02   2.525047e-04
  8.786480e-01   3.530274e-02   2.512864e-04
  8.814000e-01   3.510904e-02   2.513637e-04
  8.841530e-01   3.566431e-02   2.526976e-04
  8.869050e-01   3.549790e-02   2.524965e-04
  8.896580e-01   3.579477e-02   2.548726e-04
  8.924100e-01   3.528554e-02   2.565634e-04
  8.951630e-01   3.560444e-02   2.609669e-04
  8.979150e-01   3.558346e-02   2.613190e-04
  9.006680e-01   3.517147e-02   2.600952e-04
  9.034200e-01   3.556663e-02   2.638992e-04
  9.061730e-01   3.503447e-02   2.628093e-04
  9.089260e-01   3.516128e-02   2.631394e-04
  9.116780e-01   3.532782e-02   2.630121e-04
  9.144310e-01   3.519240e-02   2.635569e-04
  9.171830e-01   3.474843e-02   2.630879e-04
  9.199360e-01   3.505839e-02   2.635008e-04
  9.226880e-01   3.493133e-02   2.582064e-04
  9.254410e-01   3.490832e-02   2.546432e-04
  9.281930e-01   3.490310e-02   2.512842e-04
  9.309460e-01   3.451606e-02   2.493718e-04
  9.336980e-01   3.491873e-02   2.488874e-04
  9.364510e-01   3.479427e-02   2.466817e-04
  9.392030e-01   3.500386e-02   2.480492e-04
  9.419560e-01   3.467825e-02   2.456493e-04
  9.447080e-01   3.494896e-02   2.458703e-04
  9.474610e-01   3.460122e-02   2.424836e-04
  9.502130e-01   3.481505e-02   2.441860e-04
  9.529660e-01   3.480313e-02   2.457276e-04
  9.557180e-01   3.457120e-02   2.424936e-04
  9.584710e-01   3.474849e-02   2.416945e-04
  9.612230e-01   3.482770e-02   2.425625e-04
  9.639760e-01   3.491401e-02   2.422722e-04
  9.667280e-01   3.503460e-02   2.433963e-04
  9.694810e-01   3.467631e-02   2.387957e-04
  9.722330e-01   3.450911e-02   2.390141e-04
  9.749860e-01   3.494967e-02   2.407696e-04
  9.777380e-01   3.458515e-02   2.373645e-04
  9.804910e-01   3.456964e-02   2.375324e-04
  9.832430e-01   3.463293e-02   2.359813e-04
  9.859960e-01   3.483539e-02   2.388907e-04
  9.887490e-01   3.463454e-02   2.370845e-04
  9.915010e-01   3.483899e-02   2.362420e-04
  9.942540e-01   3.462434e-02   2.359501e-04
  9.970060e-01   3.467328e-02   2.353565e-04
  9.997590e-01   3.459165e-02   2.361665e-04
  1.002510e+00   3.398446e-02   2.336494e-04
  1.005260e+00   3.449258e-02   2.320806e-04
  1.008020e+00   3.455081e-02   2.338635e-04
  1.010770e+00   3.456850e-02   2.329714e-04
  1.013520e+00   3.463799e-02   2.350195e-04
  1.016270e+00   3.476308e-02   2.334150e-04
  1.019030e+00   3.439968e-02   2.317757e-04
  1.021780e+00   3.441147e-02   2.323356e-04
  1.024530e+00   3.424959e-02   2.312637e-04
  1.027280e+00   3.455653e-02   2.314706e-04
  1.030040e+00   3.405529e-02   2.290657e-04
  1.032790e+00   3.437044e-02   2.317787e-04
  1.035540e+00   3.422254e-02   2.299359e-04
  1.038290e+00   3.423207e-02   2.285499e-04
  1.041050e+00   3.453106e-02   2.291408e-04
  1.043800e+00   3.410891e-02   2.289401e-04
  1.046550e+00   3.474041e-02   2.307486e-04
  1.049300e+00   3.455259e-02   2.289111e-04
  1.052060e+00   3.430792e-02   2.284006e-04
  1.054810e+00   3.415885e-02   2.268108e-04
  1.057560e+00   3.425264e-02   2.280123e-04
  1.060310e+00   3.429862e-02   2.278695e-04
  1.063070e+00   3.416227e-02   2.263301e-04
  1.065820e+00   3.453223e-02   2.278530e-04
  1.068570e+00   3.441980e-02   2.272794e-04
  1.071320e+00   3.424217e-02   2.255271e-04
  1.074080e+00   3.429264e-02   2.259820e-04
  1.076830e+00   3.409838e-02   2.247653e-04
  1.079580e+00   3.417379e-02   2.264711e-04
  1.082330e+00   3.433840e-02   2.245978e-04
  1.085090e+00   3.424187e-02   2.239999e-04
  1.087840e+00   3.468983e-02   2.252640e-04
  1.090590e+00   3.426584e-02   2.245510e-04
  1.093340e+00   3.433955e-02   2.244133e-04
  1.096100e+00   3.420952e-02   2.228604e-04
  1.098850e+00   3.414680e-02   2.229348e-04
  1.101600e+00   3.386616e-02   2.214616e-04
  1.104350e+00   3.451042e-02   2.239290e-04
  1.107110e+00   3.487391e-02   2.234274e-04
  1.109860e+00   3.416396e-02   2.216017e-04
  1.112610e+00   3.381112e-02   2.211868e-04
