Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 6.226640e-001  6.636912e-003  2.563820e-004
 6.254160e-001  7.172096e-003  2.559067e-004
 6.281690e-001  6.604647e-003  2.551479e-004
 6.309210e-001  6.073632e-003  2.517195e-004
 6.336740e-001  6.108250e-003  2.522912e-004
 6.364260e-001  6.187787e-003  2.560865e-004
 6.391790e-001  6.081588e-003  2.508791e-004
 6.419310e-001  5.729397e-003  2.511247e-004
 6.446840e-001  6.413221e-003  2.495378e-004
 6.474360e-001  5.393029e-003  2.483734e-004
 6.501890e-001  5.543272e-003  2.515485e-004
 6.529410e-001  5.559779e-003  2.485472e-004
 6.556940e-001  5.642971e-003  2.477840e-004
 6.584460e-001  5.620625e-003  2.475333e-004
 6.611990e-001  5.594096e-003  2.480649e-004
 6.639510e-001  4.925618e-003  2.455674e-004
 6.667040e-001  5.814515e-003  2.473870e-004
 6.694560e-001  5.319426e-003  2.449297e-004
 6.722090e-001  5.345118e-003  2.472528e-004
 6.749620e-001  5.496853e-003  2.446199e-004
 6.777140e-001  4.914169e-003  2.430652e-004
 6.804670e-001  5.201926e-003  2.440612e-004
 6.832190e-001  4.961022e-003  2.443334e-004
 6.859720e-001  5.611713e-003  2.438890e-004
 6.887240e-001  5.220147e-003  2.435552e-004
 6.914770e-001  5.101360e-003  2.402000e-004
 6.942290e-001  4.786331e-003  2.417788e-004
 6.969820e-001  4.897375e-003  2.405823e-004
 6.997340e-001  5.315213e-003  2.414383e-004
 7.024870e-001  4.563456e-003  2.380451e-004
 7.052390e-001  5.156456e-003  2.409904e-004
 7.079920e-001  4.542471e-003  2.400054e-004
 7.107440e-001  4.912213e-003  2.389476e-004
 7.134970e-001  4.768272e-003  2.382509e-004
 7.162490e-001  4.478324e-003  2.385093e-004
 7.190020e-001  4.498287e-003  2.377204e-004
 7.217540e-001  4.615059e-003  2.374212e-004
 7.245070e-001  4.776000e-003  2.370729e-004
 7.272590e-001  4.378118e-003  2.367415e-004
 7.300120e-001  4.658243e-003  2.369312e-004
 7.327640e-001  4.258566e-003  2.349684e-004
 7.355170e-001  4.355978e-003  2.338595e-004
 7.382690e-001  4.634831e-003  2.350070e-004
 7.410220e-001  4.701000e-003  2.359293e-004
 7.437740e-001  4.248346e-003  2.338944e-004
 7.465270e-001  4.299412e-003  2.340855e-004
 7.492790e-001  4.729993e-003  2.326765e-004
 7.520320e-001  4.277721e-003  2.326416e-004
 7.547850e-001  4.665221e-003  2.349768e-004
 7.575370e-001  4.333625e-003  2.314487e-004
 7.602900e-001  4.542088e-003  2.332841e-004
 7.630420e-001  4.570397e-003  2.309246e-004
 7.657950e-001  3.777368e-003  2.312095e-004
 7.685470e-001  4.206654e-003  2.315954e-004
